919.394	893.219	923.907	836.123	877.697	855.758	954.111	956.759	842.354	858.162
867.901	887.174	908.344	826.359	886.504	835.462	908.916	886.909	762.134	807.736
933.122	965.428	922.694	848.723	898.889	881.652	952.643	908.167	849.459	844.55
947.972	907.242	857.173	851.572	826.65	815.21	893.851	941.133	826.624	850.785
910.56	937.755	910.506	902.714	898.065	933.263	943.368	914.385	819.53	906.113
896.964	955.651	898.588	879.281	916.539	912.673	901.422	936.003	882.418	922.474
925.283	992.421	956.359	953.633	909.057	913.012	964.642	905.355	864.79	970.797
978.949	953.805	966.475	890.645	937.977	955.433	930.328	899.742	860.005	905.765
894.034	987.868	989.417	917.36	934.182	934.237	948.961	876.578	878.665	950.052
887.943	920.413	880.009	826.007	928.528	897.346	892.465	825.1	809.401	882.135
923.513	966.399	918.738	816.238	856.817	908.31	940.509	880.862	873.494	867.618
892.011	907.289	960.22	811.839	949.974	893.571	966.044	923.22	898.639	866.563
893.243	922.484	945.089	826.05	940.359	924.762	976.276	895.742	897.452	898.205
922.107	971.033	930.252	826.12	926.745	960.472	863.822	910.409	901.922	915.23
858.91	1014.96	916.349	878.804	958.07	977.738	983.725	919.142	950.223	931.39
962.252	984.889	895.081	843.229	903.837	908.521	931.272	913.029	828.976	868.781
900.767	958.355	913.095	841.912	933.514	918.057	889.242	905.921	917.228	878.122
958.36	995.257	961.891	811.502	943.634	968.716	917.881	869.717	940.018	963.386
916.433	963.221	922.749	854.959	932.537	946.477	894.637	894.847	872.511	877.693
892.804	963.883	889.515	895.322	960.672	931.247	913.311	877.821	928.982	905.706
935.471	866.882	916.55	816.249	967.365	908.186	927.484	876.389	900.613	877.413
909.828	872.985	881.616	838.424	873.239	944.357	887.901	820.075	837.701	839.44
953.941	939.828	980.036	892.367	948.77	1034.02	911.992	940.117	942.929	937.715
906.823	917.434	951.685	896.379	922.899	958.315	911.705	935.464	840.638	904.562
905.96	835.365	883.297	803.381	840.883	887.583	810.32	795.129	823.797	911.082
923.332	882.153	949.409	888.365	921.678	949.51	848.846	825.701	896.788	921.708
